imd_storm_id,name,year,dt_snap,lat,lon,wind_kt,imd_pressure_hpa,imd_dvorak_ci,imd_grade,imd_pressure_drop,oci,oci_diameter,scorpio_wind_kt,scorpio_flag,scorpio_intensity_qc,pos_suspect,date_suspect,data_source,provenance,provenance_url
1982-001,,1982,1982-05-01 03:00:00,14.0,82.5,25.0,,1.5,D,3.0,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-01 06:00:00,14.5,82.5,30.0,,2.0,DD,5.0,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-01 12:00:00,15.0,82.0,35.0,,2.5,CS,6.0,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-01 18:00:00,15.5,82.5,40.0,,2.5,CS,8.0,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-02 00:00:00,16.0,83.0,45.0,,3.0,CS,10.0,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-02 03:00:00,16.5,83.5,45.0,,3.0,CS,10.042650267804008,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-02 06:00:00,16.5,84.0,50.0,,3.5,SCS,12.398333663955563,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-02 12:00:00,16.5,84.5,55.0,,3.5,SCS,15.001983733386234,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-02 18:00:00,17.0,85.0,55.0,,3.5,SCS,15.001983733386234,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-03 00:00:00,17.0,86.0,60.0,,3.5,SCS,17.853600476096013,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-03 03:00:00,17.0,86.5,65.0,,4.0,VSCS,20.953183892084905,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-03 06:00:00,17.5,87.5,80.0,,4.5,VSCS,31.73973417972625,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-03 12:00:00,17.5,88.5,90.0,,5.0,VSCS,40.17060107121603,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-03 18:00:00,17.5,90.0,105.0,,5.5,VSCS,54.67665145804404,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-04 00:00:00,17.5,91.0,115.0,,6.0,VSCS,65.58718508232494,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-04 03:00:00,17.5,91.5,115.0,,6.0,VSCS,65.58718508232494,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
1982-001,,1982,1982-05-04 06:00:00,17.5,92.0,115.0,,6.0,VSCS,65.58718508232494,,,,,,False,False,IMD_only,RSMC_New_Delhi_Best_Track_imdtrack_v0.3.0,https://rsmcnewdelhi.imd.gov.in/download.php?path=uploads/best-track/78b4b0_Best_Tracks__Data__1982-2026_.xlsx
