imd_storm_id,serial,name,year,basin,start_time,end_time,duration_hours,n_obs,n_imd_obs,n_scorpio_obs,peak_wind_kt,min_pressure_hpa,peak_dvorak_ci,peak_grade,provenance
1982-001,1.0,,1982,BOB,1982-05-01 03:00:00,1982-05-05 03:00:00,96.0,20,20,0,115.0,,6.0,VSCS,RSMC_New_Delhi_Best_Track
1982-002,2.0,,1982,BOB,1982-05-31 12:00:00,1982-06-05 03:00:00,111.0,25,25,0,90.0,952.0,5.0,VSCS,RSMC_New_Delhi_Best_Track
1982-003,3.0,,1982,BOB,1982-07-18 03:00:00,1982-07-20 00:00:00,45.0,8,8,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1982-004,4.0,,1982,BOB,1982-08-12 03:00:00,1982-08-12 18:00:00,15.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1982-005,5.0,,1982,BOB,1982-08-18 03:00:00,1982-08-19 12:00:00,33.0,4,4,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1982-006,6.0,,1982,BOB,1982-08-27 03:00:00,1982-09-02 12:00:00,153.0,14,14,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1982-007,7.0,,1982,BOB,1982-09-09 03:00:00,1982-09-10 03:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1982-008,8.0,,1982,BOB,1982-09-29 00:00:00,1982-09-29 03:00:00,3.0,2,2,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1982-009,9.0,,1982,BOB,1982-10-15 03:00:00,1982-10-16 18:00:00,39.0,7,7,0,55.0,,3.5,SCS,RSMC_New_Delhi_Best_Track
1982-010,10.0,,1982,BOB,1982-10-16 12:00:00,1982-10-21 12:00:00,120.0,15,15,0,55.0,982.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1982-011,11.0,,1982,BOB,1982-11-28 03:00:00,1982-11-29 03:00:00,24.0,3,3,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1982-012,12.0,,1982,BOB,1982-12-02 12:00:00,1982-12-04 00:00:00,36.0,4,4,0,25.0,,1.5,,RSMC_New_Delhi_Best_Track
1982-013,13.0,,1982,ARB,1982-07-15 03:00:00,1982-07-16 03:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1982-014,14.0,,1982,ARB,1982-10-01 03:00:00,1982-10-02 03:00:00,24.0,3,3,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1982-015,15.0,,1982,ARB,1982-11-04 12:00:00,1982-11-09 12:00:00,120.0,14,14,0,90.0,962.0,5.0,ESCS,RSMC_New_Delhi_Best_Track
1982-016,16.0,,1982,ARB,1982-11-28 12:00:00,1982-11-29 06:00:00,18.0,3,3,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1982-017,17.0,,1982,LAND,1982-06-17 03:00:00,1982-06-18 03:00:00,24.0,3,3,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1982-018,18.0,,1982,LAND,1982-08-02 03:00:00,1982-08-04 03:00:00,48.0,5,5,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1982-019,19.0,,1982,LAND,1982-08-25 03:00:00,1982-08-25 03:00:00,0.0,1,1,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1983-001,1.0,,1983,ARB,1983-06-20 03:00:00,1983-06-22 12:00:00,57.0,6,6,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1983-002,2.0,,1983,BOB,1983-06-24 03:00:00,1983-06-27 12:00:00,81.0,10,10,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1983-003,3.0,,1983,LAND,1983-08-04 00:00:00,1983-08-10 18:00:00,162.0,22,22,0,30.0,,,DD,RSMC_New_Delhi_Best_Track
1983-004,4.0,,1983,LAND,1983-09-09 00:00:00,1983-09-10 12:00:00,36.0,9,9,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1983-005,5.0,HERBERT,1983,BOB,1983-10-14 03:00:00,1983-10-15 12:00:00,33.0,4,4,0,55.0,,4.0,CS,RSMC_New_Delhi_Best_Track
1983-006,6.0,,1983,BOB,1983-11-06 03:00:00,1983-11-09 03:00:00,72.0,7,7,0,90.0,,5.0,SCS,RSMC_New_Delhi_Best_Track
1983-007,7.0,,1983,LAND,1983-12-21 12:00:00,1983-12-22 12:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1984-001,1.0,,1984,ARB,1984-06-05 12:00:00,1984-06-06 12:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1984-002,2.0,,1984,BOB,1984-07-31 03:00:00,1984-08-07 18:00:00,183.0,18,18,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1984-003,3.0,,1984,BOB,1984-08-15 00:00:00,1984-08-19 12:00:00,108.0,11,11,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1984-004,4.0,,1984,BOB,1984-10-13 00:00:00,1984-10-15 12:00:00,60.0,7,7,0,65.0,,4.0,SCS,RSMC_New_Delhi_Best_Track
1984-005,5.0,,1984,BOB,1984-11-09 12:00:00,1984-11-14 12:00:00,120.0,14,14,0,115.0,,6.0,SCS,RSMC_New_Delhi_Best_Track
1984-006,6.0,,1984,BOB,1984-11-27 12:00:00,1984-12-02 03:00:00,111.0,11,11,0,115.0,,6.0,SCS,RSMC_New_Delhi_Best_Track
1984-007,7.0,,1984,ARB,1984-12-04 00:00:00,1984-12-05 12:00:00,36.0,6,6,0,30.0,,2.5,DD,RSMC_New_Delhi_Best_Track
1985-001,1.0,,1985,BOB,1985-05-21 21:00:00,1985-05-25 18:00:00,93.0,12,12,0,65.0,,4.0,VSCS,RSMC_New_Delhi_Best_Track
1985-002,2.0,,1985,ARB,1985-05-28 03:00:00,1985-05-30 12:00:00,57.0,6,6,0,45.0,,3.0,CS,RSMC_New_Delhi_Best_Track
1985-003,3.0,,1985,BOB,1985-08-01 03:00:00,1985-08-02 00:00:00,21.0,4,4,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1985-004,4.0,,1985,BOB,1985-08-06 03:00:00,1985-08-09 03:00:00,72.0,8,8,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1985-005,5.0,,1985,BOB,1985-08-14 03:00:00,1985-08-15 00:00:00,21.0,4,4,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1985-006,6.0,,1985,BOB,1985-09-19 03:00:00,1985-09-21 12:00:00,57.0,11,11,0,45.0,,3.0,CS,RSMC_New_Delhi_Best_Track
1985-007,7.0,,1985,BOB,1985-10-01 03:00:00,1985-10-02 03:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1985-008,8.0,,1985,ARB,1985-10-06 03:00:00,1985-10-09 03:00:00,72.0,7,7,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1985-009,9.0,,1985,BOB,1985-10-09 03:00:00,1985-10-13 12:00:00,105.0,9,9,0,45.0,,3.0,CS,RSMC_New_Delhi_Best_Track
1985-010,10.0,,1985,BOB,1985-10-13 12:00:00,1985-10-17 03:00:00,87.0,8,8,0,45.0,,3.0,SCS,RSMC_New_Delhi_Best_Track
1985-011,11.0,,1985,BOB,1985-11-12 03:00:00,1985-11-12 12:00:00,9.0,2,2,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1985-012,12.0,,1985,BOB,1985-11-15 03:00:00,1985-11-17 12:00:00,57.0,6,6,0,35.0,,2.5,CS,RSMC_New_Delhi_Best_Track
1985-013,13.0,,1985,BOB,1985-12-11 12:00:00,1985-12-14 03:00:00,63.0,6,6,0,35.0,,3.0,CS,RSMC_New_Delhi_Best_Track
1985-014,14.0,,1985,LAND,1985-08-05 03:00:00,1985-08-06 03:00:00,24.0,3,3,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1985-015,15.0,,1985,LAND,1985-09-23 03:00:00,1985-09-24 12:00:00,33.0,4,4,0,25.0,,,D,RSMC_New_Delhi_Best_Track
1986-001,1.0,,1986,BOB,1986-01-07 12:00:00,1986-01-08 12:00:00,24.0,3,3,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1986-002,2.0,,1986,LAND,1986-07-22 03:00:00,1986-07-23 03:00:00,24.0,3,3,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1986-003,3.0,,1986,LAND,1986-08-08 03:00:00,1986-08-10 12:00:00,57.0,7,7,0,,,,D,RSMC_New_Delhi_Best_Track
1986-004,4.0,,1986,BOB,1986-08-10 12:00:00,1986-08-14 12:00:00,96.0,9,9,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1986-005,5.0,,1986,BOB,1986-08-19 03:00:00,1986-08-20 12:00:00,33.0,4,4,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1986-006,6.0,,1986,BOB,1986-09-24 03:00:00,1986-09-26 12:00:00,57.0,5,5,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1986-007,7.0,,1986,BOB,1986-11-07 03:00:00,1986-11-09 12:00:00,57.0,6,6,0,45.0,,3.0,CS,RSMC_New_Delhi_Best_Track
1986-008,8.0,,1986,ARB,1986-11-09 03:00:00,1986-11-10 12:00:00,33.0,4,4,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1987-001,1.0,,1987,BOB,1987-01-30 03:00:00,1987-02-04 12:00:00,129.0,21,21,0,75.0,970.0,4.0,VSCS,RSMC_New_Delhi_Best_Track
1987-002,2.0,,1987,BOB,1987-06-01 03:00:00,1987-06-05 06:00:00,99.0,13,13,0,45.0,980.0,3.0,CS,RSMC_New_Delhi_Best_Track
1987-003,3.0,,1987,BOB,1987-08-26 03:00:00,1987-08-29 12:00:00,81.0,8,8,0,25.0,990.0,,D,RSMC_New_Delhi_Best_Track
1987-004,4.0,,1987,BOB,1987-09-11 12:00:00,1987-09-12 12:00:00,24.0,3,3,0,25.0,993.0,,D,RSMC_New_Delhi_Best_Track
1987-005,5.0,,1987,BOB,1987-09-15 03:00:00,1987-09-16 12:00:00,33.0,4,4,0,25.0,997.0,,D,RSMC_New_Delhi_Best_Track
1987-006,6.0,,1987,BOB,1987-10-14 03:00:00,1987-10-19 12:00:00,129.0,13,13,0,45.0,994.0,3.0,CS,RSMC_New_Delhi_Best_Track
1987-007,7.0,,1987,BOB,1987-10-31 03:00:00,1987-11-03 12:00:00,81.0,17,17,0,55.0,984.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1987-008,8.0,,1987,BOB,1987-11-11 06:00:00,1987-11-13 06:00:00,48.0,11,11,0,55.0,990.0,3.5,SCS,RSMC_New_Delhi_Best_Track
1987-009,9.0,,1987,BOB,1987-12-19 12:00:00,1987-12-22 18:00:00,78.0,16,16,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1988-001,1.0,,1988,BOB,1988-06-08 12:00:00,1988-06-10 03:00:00,39.0,4,4,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1988-002,2.0,,1988,ARB,1988-06-09 03:00:00,1989-06-12 12:00:00,8841.0,9,9,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1988-003,3.0,,1988,BOB,1988-07-17 03:00:00,1988-07-18 12:00:00,33.0,4,4,0,25.0,,1.5,D,RSMC_New_Delhi_Best_Track
1988-004,4.0,,1988,BOB,1988-08-02 00:00:00,1988-08-06 03:00:00,99.0,10,10,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1988-005,5.0,,1988,BOB,1988-10-01 03:00:00,1988-10-03 03:00:00,48.0,5,5,0,30.0,,2.0,DD,RSMC_New_Delhi_Best_Track
1988-006,6.0,,1988,BOB,1988-10-18 18:00:00,1988-10-20 03:00:00,33.0,4,4,0,55.0,,4.0,CS,RSMC_New_Delhi_Best_Track
1988-007,7.0,,1988,BOB,1988-11-15 03:00:00,1988-11-18 12:00:00,81.0,8,8,0,110.0,,5.5,SCS,RSMC_New_Delhi_Best_Track
1988-008,8.0,,1988,BOB,1988-11-23 12:00:00,1988-11-30 00:00:00,156.0,14,14,0,115.0,,6.0,SCS,RSMC_New_Delhi_Best_Track
