storm_name,imd_storm_id,image_filename,image_datetime_utc,satellite,sensor,channel_band,geographic_description,preprocessing,enhancement,segmentation_method,status,pipeline_used,original_resolution_px,working_resolution_px,full_cloud_shield_area_px,full_cloud_shield_equivalent_diameter_px,dense_core_area_px,dense_core_equivalent_diameter_px,dense_core_circularity_0to1,symmetry_score_0to1,storm_center_px,eye_detected,eye_details,storm_touches_frame_edge,pct_storm_boundary_at_frame_edge_or_nodata,structure_assessment,eye_review_note,cloud_cover_pct_of_valid_frame,eye_low_confidence_candidate,segmentation_quality_flag,warm_colored_pct_of_colored_area,cool_colored_pct_of_colored_area,note,heavy_rain_colored_pct_of_colored_area,moderate_rain_colored_pct_of_colored_area,reason
AMPHAN,2020-013,AMPHAN_aqua_modis_2020-05-20_landfall.jpg,2020-05-20T07:30:00Z,Aqua,MODIS,true_color,Bay of Bengal/West Bengal coast - AMPHAN at landfall near Digha India,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[7789, 8103]","[1345, 1400]",1180946.5,1226.2,962479.5,1107.0,0.173,0.733,"[777, 546]",False,,True,0.1,"Fairly organized, rounded cloud mass but no clear eye -- consistent with a mature but structurally disrupted system (e.g. at/after landfall).","Human visual review overrode automated candidates -- see original image #1 notebook for full reasoning (soft rotational texture at spiral center, not a sharp clearing; consistent with landfall weakening).",,,,,,,,,
AMPHAN,2020-013,AMPHAN_terra_modis_2020-05-19_pre-landfall.png,2020-05-19T00:00:00Z,Terra,MODIS,true_color,"Bay of Bengal - AMPHAN pre-landfall, approaching West Bengal/Odisha coast","bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[1975, 1975]","[1400, 1400]",304026.0,622.2,252701.0,567.2,0.698,0.925,"[574, 956]",False,,True,0.0,"Fairly organized, rounded cloud mass but no clear eye.",,34.67,"{""mode"": ""bright_core"", ""center_px"": [621.6, 855.9], ""equivalent_diameter_px"": 18.2, ""roundness"": 0.58, ""dist_from_center_px"": 110.8, ""eye_to_core_diameter_ratio"": 0.0321, ""n_candidates_considered"": 4, ""confidence"": ""low""}",ok,,,,,,
ASHOBAA,2015-005,ASHOBAA_terra_modis_2015-06-09.jpg,2015-06-09T06:50:00Z,Terra,MODIS,true_color,Arabian Sea - ASHOBAA dissipating west of Arabian Peninsula,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[6400, 8400]","[1066, 1400]",177297.5,475.1,141445.0,424.4,0.211,0.499,"[642, 668]",False,,False,0.0,"Irregular / asymmetric cloud shape, no eye -- consistent with a weaker, developing, or disrupted/dissipating system.",,37.24,"{""mode"": ""dark_core"", ""center_px"": [595.9, 587.9], ""equivalent_diameter_px"": 27.1, ""roundness"": 0.48, ""dist_from_center_px"": 92.4, ""eye_to_core_diameter_ratio"": 0.0639, ""n_candidates_considered"": 5, ""confidence"": ""low""}",ok,,,,,,
BIPARJOY,2023-003,BIPARJOY_iss_camera_2023-06-11_eye.jpg,2023-06-11T00:00:00Z,ISS,Camera,true_color,Arabian Sea - BIPARJOY from International Space Station showing eye structure,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[4674, 3116]","[1400, 933]",642595.0,904.5,556914.5,842.1,0.099,0.693,"[787, 466]",False,,True,0.0,"Irregular / asymmetric cloud shape, no eye -- consistent with a weaker, developing, or disrupted/dissipating system.",,58.82,"{""mode"": ""bright_core"", ""center_px"": [696.6, 492.1], ""equivalent_diameter_px"": 15.0, ""roundness"": 0.61, ""dist_from_center_px"": 94.1, ""eye_to_core_diameter_ratio"": 0.0178, ""n_candidates_considered"": 20, ""confidence"": ""low""}",ok,,,,,,
BIPARJOY,2023-003,BIPARJOY_noaa20_viirs_2023-06-14.jpg,2023-06-14T00:00:00Z,NOAA-20,VIIRS,true_color,Arabian Sea - BIPARJOY approaching Gujarat India and Pakistan coast,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[2967, 1978]","[1400, 933]",555931.5,841.3,381055.0,696.5,0.182,0.695,"[805, 545]",False,,True,0.0,"Irregular / asymmetric cloud shape, no eye -- consistent with a weaker, developing, or disrupted/dissipating system.",,49.08,"{""mode"": ""bright_core"", ""center_px"": [914.8, 515.3], ""equivalent_diameter_px"": 23.7, ""roundness"": 0.56, ""dist_from_center_px"": 113.7, ""eye_to_core_diameter_ratio"": 0.034, ""n_candidates_considered"": 18, ""confidence"": ""low""}",ok,,,,,,
FANI,2019-003,FANI_aqua_modis_2019-05-02_pre-landfall.jpg,2019-05-02T07:32:00Z,Aqua,MODIS,true_color,Bay of Bengal - FANI approaching Odisha coast India at peak intensity,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[4784, 6540]","[1024, 1400]",806627.5,1013.4,662608.0,918.5,0.116,0.74,"[419, 769]",False,,True,0.0,"Fairly organized, rounded cloud mass but no clear eye.",,54.64,"{""mode"": ""dark_core"", ""center_px"": [307.1, 636.8], ""equivalent_diameter_px"": 24.7, ""roundness"": 0.76, ""dist_from_center_px"": 173.2, ""eye_to_core_diameter_ratio"": 0.0269, ""n_candidates_considered"": 27, ""confidence"": ""low""}",ok,,,,,,
HIKAA,2019-006,HIKAA_terra_modis_2019-09-24.jpg,2019-09-24T06:45:00Z,Terra,MODIS,true_color,Arabian Sea - HIKAA approaching Oman coast at Category 1 intensity,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[7276, 7176]","[1400, 1380]",146488.0,431.9,51820.5,256.9,0.359,0.753,"[757, 752]",False,,False,0.0,"Fairly organized, rounded cloud mass but no clear eye.",,24.92,"{""mode"": ""dark_core"", ""center_px"": [768.4, 666.0], ""equivalent_diameter_px"": 21.5, ""roundness"": 0.73, ""dist_from_center_px"": 86.8, ""eye_to_core_diameter_ratio"": 0.0837, ""n_candidates_considered"": 3, ""confidence"": ""low""}",ok,,,,,,
HUDHUD,2014-006,HUDHUD_aqua_modis_2014-10-14_post-landfall.jpg,2014-10-14T00:00:00Z,Aqua,MODIS,true_color,Eastern India coast - HUDHUD post-landfall remnants over Andhra Pradesh,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[1600, 2100]","[1066, 1400]",610934.5,882.0,551764.0,838.2,0.123,0.764,"[665, 620]",False,,True,0.0,"Fairly organized, rounded cloud mass but no clear eye.",,52.14,"{""mode"": ""dark_core"", ""center_px"": [620.4, 608.4], ""equivalent_diameter_px"": 15.8, ""roundness"": 0.77, ""dist_from_center_px"": 46.1, ""eye_to_core_diameter_ratio"": 0.0189, ""n_candidates_considered"": 31, ""confidence"": ""low""}",ok,,,,,,
HUDHUD,2014-006,HUDHUD_terra_modis_2014-10-12_pre-landfall.jpg,2014-10-12T05:10:00Z,Terra,MODIS,true_color,Bay of Bengal - HUDHUD before landfall near Visakhapatnam Andhra Pradesh India,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[1800, 2350]","[1072, 1400]",467406.5,771.4,341552.0,659.5,0.175,0.513,"[507, 694]",False,,True,0.0,"Irregular / asymmetric cloud shape, no eye -- consistent with a weaker, developing, or disrupted/dissipating system.",,38.52,"{""mode"": ""dark_core"", ""center_px"": [593.2, 703.3], ""equivalent_diameter_px"": 13.5, ""roundness"": 0.98, ""dist_from_center_px"": 86.8, ""eye_to_core_diameter_ratio"": 0.0205, ""n_candidates_considered"": 12, ""confidence"": ""low""}",ok,,,,,,
MAHA,2019-008,MAHA_terra_modis_2019-11-04.jpg,2019-11-04T00:00:00Z,Terra,MODIS,true_color,Arabian Sea - MAHA at peak intensity before weakening and dissipating,"bilateral filter, strong (d=13, sigmaColor=100, sigmaSpace=100)","CLAHE on L channel, clipLimit=2.0, tileGridSize=8x8","HSV thresholds, no-data corners excluded",OK,visible,"[5639, 5239]","[1400, 1300]",194906.0,498.2,80276.0,319.7,0.103,0.294,"[686, 470]",False,,False,0.0,"Irregular / asymmetric cloud shape, no eye -- consistent with a weaker, developing, or disrupted/dissipating system.",,29.49,"{""mode"": ""bright_core"", ""center_px"": [674.1, 473.8], ""equivalent_diameter_px"": 13.9, ""roundness"": 0.75, ""dist_from_center_px"": 12.5, ""eye_to_core_diameter_ratio"": 0.0435, ""n_candidates_considered"": 34, ""confidence"": ""low""}",ok,,,,,,
