storm_id_code,storm_name_code,dt_snap_unix,image_filename_code,wind_kt_canonical,has_wind_label,imd_grade_ordinal,severity_tier_ordinal,wind_label_source_IMD,wind_label_source_none,lat,lon,imd_pressure_hpa,imd_pressure_drop,oci,oci_diameter,date_suspect,core_to_shield_area_ratio,dense_core_circularity_0to1,symmetry_score_0to1,cloud_cover_pct_of_valid_frame,eye_confidence_0to2,eye_to_core_diameter_ratio,storm_touches_frame_edge,pct_storm_boundary_at_frame_edge_or_nodata,aux_sst_warm_pct,aux_sst_cool_pct,aux_rainfall_heavy_pct,aux_rainfall_moderate_pct,has_image,image_to_observation_gap_hours,storm_age_hours,month_sin,month_cos,doy_sin,doy_cos,dt_snap_hour,wind_kt_lag1,pressure_lag1,wind_tendency_3h,pressure_tendency_3h,oci_diameter_missing,pressure_missing,basin_ARB,basin_BOB,basin_LAND,pipeline_grayscale,pipeline_no_image,pipeline_visible
-1,,1451185200.0,,6.4,0,-1,-1,0,1,6.9,92.7,1015.7,-2.45,,,0,,,,,0,,0,0.0,,,,,0,,,-0.5000000000000004,0.8660254037844384,-0.0859647987374467,0.9962981749346077,3,14.6,1014.1,-8.2,1.6,1,0,0,1,0,0,1,0
240.0,,1221577200.0,,30.0,1,1.0,0.0,1,0,21.0,87.0,986.0,5.0,,,0.0,,,,,,,,,,,,,0,,27.0,-1.0,-1.8369701987210297e-16,-0.97139528468375,-0.23746831555846842,15,30.0,986.0,0.0,0.0,1,0,0,1,0,0,1,0
78.0,,617284800.0,,30.0,1,1.0,0.0,1,0,22.3,74.1,,4.463400119024003,,,0.0,,,,,,,,,,,,,0,,72.0,-0.4999999999999997,-0.8660254037844388,-0.3754703786876202,-0.9268343944460494,12,30.0,,0.0,,1,1,0,1,0,0,1,0
-1,,1427587200.0,,6.8,0,-1,-1,0,1,19.1,85.2,1011.8,1.45,,,0,,,,,0,,0,0.0,,,,,0,,,0.8660254037844386,0.5000000000000001,0.9973249731081555,0.07309512989807777,0,,,,,1,0,0,1,0,0,1,0
129.0,,815788800.0,,35.0,1,2.0,0.0,1,0,13.0,88.5,996.0,8.0,1004.0,4.0,0.0,,,,,,,,,,,,,0,,21.0,-0.5000000000000004,0.8660254037844384,-0.7931896839451843,0.6089746507720486,0,30.0,996.0,5.0,0.0,0,0,0,1,0,0,1,0
-1,,954288000.0,,7.4,0,-1,-1,0,1,14.8,63.2,1012.7,0.55,,,0,,,,,0,,0,0.0,,,,,0,,,0.8660254037844386,0.5000000000000001,0.9984354211555643,0.055916990100603484,0,,,,,1,0,1,0,0,0,1,0
-1,,1436000400.0,,15.2,0,-1,-1,0,1,15.0,70.0,1000.9,12.35,,,0,,,,,0,,0,0.0,,,,,0,,,1.2246467991473532e-16,-1.0,-0.02581844022713239,-0.9996666485105112,9,14.8,1002.0,0.4,-1.1,1,0,1,0,0,0,1,0
299.0,,1438160400.0,,25.0,1,0.0,0.0,1,0,27.2,73.0,996.0,4.0,,,0.0,,,,,,,,,,,,,0,,45.0,-0.4999999999999997,-0.8660254037844388,-0.45370308603134424,-0.8911529104063088,9,25.0,996.0,0.0,0.0,1,0,0,0,1,0,1,0
-1,,584053200.0,,12.7,0,-1,-1,0,1,12.7,82.9,1001.7,11.55,,,0,,,,,0,,0,0.0,,,,,0,,,1.2246467991473532e-16,-1.0,-0.04302223300453034,-0.99907411510223,21,14.7,1001.4,-2.0,0.3,1,0,0,1,0,0,1,0
-1,,1441346400.0,,9.0,0,-1,-1,0,1,7.3,83.0,1004.5,8.75,,,0,,,,,0,,0,0.0,,,,,0,,,-0.8660254037844384,-0.5000000000000004,-0.888057322629493,-0.4597327394521046,6,14.1,1004.5,-5.1,0.0,1,0,0,1,0,0,1,0
